,regiao,estado,cidade,drones
0,Sudeste,ES,Colatina,36
1,Centro-Oeste,MT,Cuiabá,451
2,Centro-Oeste,DF,Brasília,2634
3,Sudeste,MG,Matozinhos,12
4,Sudeste,SP,São Paulo,9622
5,Sul,SC,Balneário Piçarras,15
6,Sul,SC,Florianópolis,849
7,Sul,PR,Ibiporã,8
8,Sudeste,SP,Araraquara,144
9,Nordeste,PE,Recife,913
10,Sul,SC,Lauro Müller,3
11,Sul,SC,Blumenau,295
12,Sudeste,MG,Sete Lagoas,88
13,Centro-Oeste,GO,Goiânia,899
14,Sul,RS,Bento Gonçalves,64
15,Sul,PR,Curitiba,1893
16,Sudeste,SP,Ribeirão Preto,463
17,Sudeste,SP,Santos,456
18,Sudeste,SP,Americana,201
19,Sudeste,RJ,Rio de Janeiro,5430
20,Nordeste,PB,João Pessoa,394
21,Nordeste,PI,Teresina,205
22,Sudeste,SP,Osasco,369
23,Nordeste,SE,Aracaju,615
24,Sudeste,SP,Barueri,303
25,Nordeste,BA,Salvador,1322
26,Sul,PR,Marechal Cândido Rondon,22
27,Sudeste,SP,Bertioga,38
28,Sul,RS,Bagé,28
29,Sul,SC,Capivari de Baixo,11
30,Sul,PR,Paranaguá,42
31,Nordeste,PE,Caruaru,76
32,Sudeste,MG,Prata,7
33,Sudeste,SP,Bebedouro,63
34,Sudeste,SP,Praia Grande,177
35,Sudeste,RJ,Resende,71
36,Sudeste,SP,Rio Claro,118
37,Sudeste,MG,Belo Horizonte,2206
38,Sudeste,MG,Viçosa,64
39,Sudeste,MG,Uberlândia,382
40,Sudeste,MG,Campo Florido,2
41,Nordeste,BA,Livramento de Nossa Senhora,5
42,Sudeste,SP,Campinas,878
43,Nordeste,BA,Mata de São João,10
44,Nordeste,BA,Feira de Santana,205
45,Sul,PR,Ponta Grossa,190
46,Sul,SC,Joinville,345
47,Norte,RO,Porto Velho,176
48,Nordeste,BA,Porto Seguro,52
49,Norte,PA,Belém,432
50,Nordeste,PB,Campina Grande,112
51,Sudeste,SP,Taubaté,160
52,Sul,RS,Porto Alegre,1117
53,Sudeste,SP,Bariri,9
54,Sudeste,SP,Mauá,130
55,Sudeste,SP,Lençóis Paulista,105
56,Nordeste,CE,Fortaleza,960
57,Centro-Oeste,MT,Primavera do Leste,42
58,Sul,PR,Maringá,243
59,Sudeste,SP,Sorocaba,391
60,Sudeste,SP,São Bernardo do Campo,621
61,Nordeste,AL,Igaci,1
62,Nordeste,PE,Araripina,15
63,Sudeste,SP,Capivari,21
64,Sudeste,SP,Indaiatuba,174
65,Sul,RS,Nova Prata,9
66,Nordeste,MA,São Luís,396
67,Sul,PR,Londrina,398
68,Sul,PR,Araucária,40
69,Sudeste,MG,Contagem,219
70,Nordeste,PE,Petrolina,99
71,Sudeste,RJ,Rio das Ostras,93
72,Sul,PR,Foz do Iguaçu,185
73,Sudeste,SP,São Caetano do Sul,283
74,Centro-Oeste,GO,Luziânia,29
75,Norte,AM,Manaus,772
76,Centro-Oeste,MS,Campo Grande,600
77,Sul,RS,Lagoa dos Três Cantos,1
78,Norte,RR,Boa Vista,173
79,Centro-Oeste,GO,Aparecida de Goiânia,123
80,Sul,SC,Garopaba,27
81,Sudeste,RJ,Niterói,578
82,Sudeste,SP,Novo Horizonte,9
83,Sudeste,SP,Jundiaí,411
84,Nordeste,BA,Teixeira de Freitas,35
85,Sudeste,RJ,Queimados,25
86,Nordeste,BA,Caetité,15
87,Sudeste,MG,Itajubá,53
88,Sudeste,SP,Sumaré,101
89,Sudeste,SP,Salto de Pirapora,13
90,Centro-Oeste,MT,Sorriso,54
91,Sudeste,RJ,Magé,46
92,Nordeste,RN,Parnamirim,131
93,Sul,RS,Gravataí,85
94,Sudeste,SP,São José dos Campos,679
95,Sul,SC,Chapecó,99
96,Nordeste,BA,Ilhéus,45
97,Sudeste,RJ,Petrópolis,195
98,Sudeste,SP,São João da Boa Vista,47
99,Nordeste,PE,Jaboatão dos Guararapes,194
100,Sudeste,SP,Itu,120
101,Sul,SC,Criciúma,150
102,Sul,RS,Carazinho,22
103,Sudeste,RJ,Itaboraí,40
104,Nordeste,PE,Vitória de Santo Antão,20
105,Sul,SC,Indaial,34
106,Sudeste,SP,Pedreira,12
107,Sudeste,SP,Pindamonhangaba,56
108,Sudeste,SP,Piracicaba,238
109,Sul,PR,Palotina,16
110,Sudeste,MG,Juiz de Fora,309
111,Norte,RO,Cacoal,9
112,Sudeste,MG,Chapada Gaúcha,1
113,Sudeste,SP,Santo André,623
114,Sul,SC,Brusque,58
115,Sudeste,RJ,Volta Redonda,142
116,Sudeste,MG,Moeda,4
117,Sudeste,MG,Varginha,54
118,Sul,SC,Camboriú,39
119,Nordeste,BA,Pojuca,13
120,Sul,PR,Cascavel,190
121,Norte,PA,Canaã dos Carajás,28
122,Sudeste,SP,Luís Antônio,3
123,Sul,RS,Viamão,41
124,Sudeste,ES,São Gabriel da Palha,3
125,Nordeste,RN,Natal,417
126,Sudeste,MG,Mariana,47
127,Sudeste,SP,Jaboticabal,35
128,Sudeste,SP,Igarapava,10
129,Sudeste,MG,Miguel Burnier,8
130,Sul,SC,Balneário Camboriú,165
131,Nordeste,BA,Posto da Mata,5
132,Norte,AM,Parintins,13
133,Sul,PR,Rio Negro,14
134,Norte,PA,Itaituba,16
135,Sudeste,ES,Serra,172
136,Nordeste,-,,241
137,Sudeste,MG,Ipatinga,101
138,Nordeste,CE,Jijoca de Jericoacoara,7
139,Sudeste,RJ,Macaé,169
140,Sudeste,MG,Alfenas,27
141,Sul,RS,São Leopoldo,79
142,Sul,PR,Peabiru,2
143,Norte,RO,Pimenta Bueno,13
144,Sudeste,RJ,Varre-Sai,4
145,Centro-Oeste,GO,Catalão,44
146,Sudeste,SP,Cotia,174
147,Sudeste,SP,São José do Rio Preto,267
148,Sudeste,SP,Colina,6
149,Sudeste,RJ,Belford Roxo,54
150,Sudeste,MG,Montes Claros,134
151,Sul,PR,Tupãssi,2
152,Norte,AP,Macapá,121
153,Sudeste,ES,Conceição do Castelo,1
154,Centro-Oeste,GO,Barro Alto,8
155,Norte,RO,Colorado do Oeste,7
156,Norte,PA,Marabá,64
157,Sudeste,ES,Vitória,448
158,Sudeste,SP,Marília,96
159,Sudeste,SP,Guarujá,183
160,Sudeste,MG,Fronteira,3
161,Sudeste,SP,Bauru,230
162,Nordeste,SE,Rosário do Catete,3
163,Nordeste,MA,Paço do Lumiar,13
164,Sul,PR,Harmonia,17
165,Nordeste,AL,Maceió,286
166,Sudeste,MG,Santa Luzia,80
167,Centro-Oeste,MS,Bataguassu,6
168,Sul,PR,Pato Branco,50
169,Centro-Oeste,MS,Sidrolândia,5
170,Sudeste,SP,São Joaquim da Barra,31
171,Sudeste,SP,Adamantina,8
172,Sul,SC,Timbó,34
173,Sudeste,SP,Mogi Guaçu,52
174,Sul,RS,Canoas,144
175,Sudeste,MG,Betim,106
176,Sudeste,SP,Mogi das Cruzes,176
177,Sudeste,RJ,Rio Bonito,16
178,Sul,SC,Mafra,26
179,Sudeste,MG,Nova Lima,193
180,Centro-Oeste,GO,Anápolis,137
181,Sul,PR,Apucarana,22
182,Sudeste,MG,Piranguinho,3
183,Sudeste,SP,Paulínia,115
184,Sudeste,MG,Itapecerica,8
185,Nordeste,BA,Guanambi,21
186,Sul,PR,Cruzeiro do Oeste,5
187,Nordeste,AL,Santana do Mundaú,1
188,Sul,PR,Campo Mourão,39
189,Sudeste,RJ,Papucaia,4
190,Nordeste,BA,Paulo Afonso,33
191,Sudeste,SP,Diadema,122
192,Centro-Oeste,MT,Sapezal,9
193,Sudeste,RJ,São João de Meriti,85
194,Sudeste,SP,Jandira,58
195,Sul,PR,União da Vitória,17
196,Sul,PR,Tibagi,14
197,Sudeste,RJ,Nova Friburgo,106
198,Sul,PR,Cornélio Procópio,11
199,Sudeste,SP,Socorro,29
200,Sul,PR,Ivaiporã,6
201,Sudeste,SP,Pirassununga,70
202,Sudeste,RJ,São Gonçalo,235
203,Sudeste,SP,Castilho,3
204,Centro-Oeste,MT,Diamantino,5
205,Sudeste,SP,Embu das Artes,55
206,Norte,PA,Parauapebas,51
207,Centro-Oeste,MT,Pontes e Lacerda,10
208,Sudeste,SP,Taboão da Serra,123
209,Sul,SC,Joaçaba,15
210,Sudeste,RJ,Teresópolis,94
211,Sudeste,SP,Guareí,2
212,Sul,PR,Cambé,30
213,Nordeste,CE,Várzea Alegre,4
214,Sudeste,SP,Itupeva,40
215,Sudeste,MG,Unaí,22
216,Sul,RS,Imbé,9
217,Norte,PA,Santarém,64
218,Norte,PA,Porto Trombetas,12
219,Sudeste,MG,João Monlevade,31
220,Sul,RS,Caxias do Sul,211
221,Norte,AC,Rio Branco,95
222,Sudeste,MG,Poços de Caldas,158
223,Sudeste,SP,Assis,51
224,Sul,PR,Iguatemi,6
225,Sul,RS,Novo Hamburgo,110
226,Sudeste,SP,Guariba,14
227,Norte,TO,Palmas,160
228,Centro-Oeste,GO,Santa Fé de Goiás,2
229,Sudeste,SP,São Carlos,210
230,Sul,PR,Pinhais,67
231,Sudeste,SP,Garça,10
232,Sudeste,SP,Guarulhos,512
233,Centro-Oeste,GO,Valparaíso de Goiás,38
234,Sul,RS,São Borja,9
235,Nordeste,CE,Tianguá,5
236,Sudeste,MG,Pouso Alegre,68
237,Centro-Oeste,GO,Rio Verde,70
238,Sul,PR,Guarapuava,62
239,Nordeste,PI,Oeiras,3
240,Sul,PR,Toledo,59
241,Sul,RS,Sapiranga,18
242,Norte,PA,Carajás,57
243,Sudeste,RJ,Engenheiro Paulo de Frontin,3
244,Nordeste,MA,Raposa,8
245,Sudeste,SP,Monte Azul Paulista,5
246,Sul,PR,Tapejara,12
247,Sudeste,SP,Presidente Prudente,187
248,Sul,RS,Tramandaí,19
249,Sudeste,SP,Caçapava,43
250,Sul,PR,Bela Vista do Paraíso,2
251,Sul,RS,Pelotas,119
252,Sul,PR,Cidade Gaúcha,4
253,Sudeste,SP,Atibaia,83
254,Sul,PR,Telêmaco Borba,20
255,Sudeste,MG,Santo Antônio do Monte,6
256,Sudeste,SP,Santa Cruz das Palmeiras,9
257,Sudeste,MG,Diamantina,25
258,Sudeste,ES,Nova Venécia,9
259,Sul,SC,Biguaçu,24
260,Centro-Oeste,MT,Cocalinho,2
261,Sudeste,MG,Itabira,59
262,Sudeste,SP,Embu-Guaçu,22
263,Sul,RS,São Gabriel,12
264,Sul,RS,São Miguel das Missões,1
265,Sul,RS,Chapada,2
266,Nordeste,PB,Santa Rita,18
267,Sul,RS,Canela,18
268,Sudeste,SP,Limeira,733
269,Sudeste,MG,Teófilo Otoni,34
270,Sudeste,SP,Jacareí,115
271,Nordeste,BA,Abrantes,7
272,Sudeste,SP,Avaré,37
273,Sudeste,MG,Caiana,1
274,Sul,SC,Concórdia,29
275,Sul,RS,Seberi,3
276,Sul,PR,Matinhos,17
277,Sudeste,MG,São Lourenço,18
278,Sudeste,MG,Bocaina de Minas,2
279,Sudeste,ES,Aracruz,64
280,Sul,SC,Palhoça,105
281,Nordeste,RN,Mossoró,80
282,Norte,PA,Quatro Bocas,3
283,Nordeste,MA,Timon,17
284,Nordeste,CE,Russas,6
285,Sudeste,RJ,Três Rios,20
286,Centro-Oeste,MT,Sinop,90
287,Sul,SC,Itajaí,171
288,Sudeste,SP,Barretos,52
289,Sudeste,RJ,Maricá,89
290,Sudeste,SP,Campo Limpo Paulista,25
291,Nordeste,RN,Guamaré,4
292,Sudeste,SP,Caieiras,52
293,Sudeste,MG,Uberaba,161
294,Sudeste,MG,Eugenópolis,2
295,Sudeste,SP,Penápolis,10
296,Sudeste,RJ,Itaguaí,29
297,Nordeste,CE,Pires Ferreira,1
298,Nordeste,CE,Canindé,3
299,Sudeste,RJ,Seropédica,37
300,Sudeste,SP,Cruzeiro,21
301,Centro-Oeste,GO,Campos Belos,4
302,Centro-Oeste,GO,Itapaci,1
303,Nordeste,CE,Paracuru,7
304,Sudeste,MG,Ouro Preto,43
305,Sul,SC,Balneário Gaivota,2
306,Sul,PR,São Mateus do Sul,6
307,Nordeste,BA,Senhor do Bonfim,9
308,Sudeste,RJ,Barcelos,2
309,Sudeste,SP,Leme,44
310,Centro-Oeste,GO,Itumbiara,33
311,Sudeste,MG,Arcos,15
312,Centro-Oeste,MS,Chapadão do Sul,13
313,Sul,PR,Piraquara,28
314,Nordeste,BA,Camaçari,66
315,Nordeste,PE,Camaragibe,39
316,Sudeste,SP,Vargem Grande Paulista,31
317,Sudeste,SP,Itapeva,46
318,Nordeste,PI,Picos,11
319,Sudeste,SP,Casa Branca,17
320,Sudeste,ES,Afonso Cláudio,5
321,Sudeste,MG,Ritápolis,2
322,Nordeste,BA,Conceição do Jacuípe,2
323,Nordeste,BA,Canavieiras,5
324,Sul,SC,Porto União,8
325,Sudeste,MG,Perpétuo Socorro,9
326,Sudeste,RJ,Nilópolis,41
327,Sudeste,SP,Dracena,20
328,Sudeste,MG,Ribeirão Vermelho,2
329,Sudeste,SP,Pirajuí,8
330,Sudeste,SP,Bragança Paulista,99
331,Sudeste,MG,São João Del Rei,41
332,Sudeste,MG,Patos de Minas,55
333,Sul,PR,Guaratuba,15
334,Sudeste,SP,Ilha Solteira,17
335,Sudeste,SP,Pedregulho,7
336,Sudeste,RJ,São João da Barra,8
337,Sul,RS,Rio Grande,88
338,Sul,RS,Ivoti,15
339,Sul,PR,Faxinal,7
340,Sudeste,MG,Borda da Mata,3
341,Sul,PR,Guaíra,30
342,Sul,RS,Tapes,7
343,Sul,SC,Videira,15
344,Sul,SC,Itapema,56
345,Sudeste,MG,Guarani,2
346,Sul,RS,Parobé,7
347,Sul,RS,Marau,8
348,Centro-Oeste,MT,Chapada dos Guimarães,8
349,Sudeste,SP,Barra Bonita,39
350,Sudeste,RJ,Duque de Caxias,161
351,Sudeste,SP,Capão Bonito,16
352,Sudeste,SP,Guararema,17
353,Sudeste,MG,Formiga,28
354,Sudeste,SP,Nova Granada,1
355,Nordeste,RN,Alto do Rodrigues,2
356,Sudeste,SP,Porto Ferreira,22
357,Sudeste,SP,Nova Odessa,23
358,Nordeste,BA,Lauro de Freitas,188
359,Sudeste,SP,Vinhedo,69
360,Centro-Oeste,MS,Três Lagoas,53
361,Sul,SC,Bombinhas,18
362,Sudeste,SP,Campos do Jordão,25
363,Sudeste,SP,Itanhaém,29
364,Sul,PR,Irati,22
365,Sudeste,SP,Descalvado,11
366,Sul,RS,Passo Fundo,94
367,Sul,PR,Medianeira,13
368,Centro-Oeste,GO,Cristalina,11
369,Sudeste,SP,Valinhos,142
370,Sul,SC,Correia Pinto,3
371,Sudeste,MG,Três Marias,7
372,Sudeste,SP,Piraju,15
373,Sul,PR,São Miguel do Iguaçu,11
374,Sul,PR,Almirante Tamandaré,32
375,Sul,SC,Tijucas,22
376,Nordeste,PE,Ipojuca,29
377,Sudeste,SP,Ribeirão Pires,37
378,Sudeste,MG,Carvalhópolis,1
379,Sudeste,SP,Cachoeira Paulista,13
380,Sudeste,SP,São Roque,31
381,Nordeste,PE,Limoeiro,11
382,Sudeste,MG,Bueno Brandão,1
383,Sudeste,SP,Suzano,98
384,Sul,RS,Erechim,37
385,Sudeste,SP,Hortolândia,64
386,Nordeste,PE,Paulista,103
387,Nordeste,RN,Ceará-Mirim,10
388,Sudeste,SP,Araçatuba,92
389,Sudeste,SP,Pompéia,10
390,Norte,AM,Itacoatiara,16
391,Norte,TO,Gurupi,22
392,Sudeste,SP,Monte Alto,21
393,Sudeste,RJ,Itaperuna,30
394,Norte,TO,Paraíso do Tocantins,8
395,Sudeste,MG,Boa Esperança,12
396,Sul,PR,Paranavaí,18
397,Sudeste,SP,Olímpia,33
398,Sudeste,SP,Lins,28
399,Centro-Oeste,GO,Jaraguá,6
400,Norte,AM,Autazes,7
401,Norte,PA,Altamira,42
402,Centro-Oeste,GO,Jataí,39
403,Nordeste,PE,Salgueiro,9
404,Sul,PR,Campo Largo,51
405,Sul,PR,Catanduvas,3
406,Sudeste,ES,Vila Velha,286
407,Nordeste,BA,Irecê,33
408,Centro-Oeste,GO,Formosa,39
409,Sudeste,MG,Extrema,10
410,Sul,PR,Arapongas,47
411,Sudeste,SP,Cosmópolis,37
412,Sul,RS,Dois Irmãos,12
413,Nordeste,PB,Junco do Seridó,2
414,Sudeste,MG,Timóteo,76
415,Sudeste,SP,Taquaritinga,21
416,Sul,SC,Otacílio Costa,12
417,Sul,RS,Cachoeirinha,62
418,Nordeste,SE,Nossa Senhora da Glória,6
419,Sul,PR,Jaguariaíva,10
420,Nordeste,PE,Fernando de Noronha,16
421,Sudeste,MG,Araçuaí,9
422,Centro-Oeste,MS,Rio Verde de Mato Grosso,5
423,Sudeste,SP,Itapevi,58
424,Sul,SC,São Bento do Sul,28
425,Sudeste,SP,Cabreúva,11
426,Centro-Oeste,GO,Alexânia,4
427,Sudeste,SP,Tupã,31
428,Sudeste,RJ,Barra do Piraí,23
429,Norte,PA,Paragominas,17
430,Sudeste,RJ,Angra dos Reis,74
431,Sul,RS,Mato Castelhano,2
432,Centro-Oeste,GO,Goianésia,22
433,Sul,SC,Taió,13
434,Sudeste,RJ,Campos dos Goytacazes,123
435,Sudeste,SP,Santa Bárbara D'Oeste,93
436,Nordeste,PB,Cabedelo,36
437,Nordeste,RN,Goianinha,4
438,Sul,SC,Passo de Torres,14
439,Nordeste,CE,Alcântaras,1
440,Sudeste,MG,Brumadinho,25
441,Sudeste,MG,Santa Rita de Caldas,5
442,Sudeste,SP,São Vicente,140
443,Sul,SC,Cocal do Sul,9
444,Sul,SC,Água Doce,1
445,Nordeste,BA,Barreiras,72
446,Sudeste,SP,Franca,127
447,Nordeste,CE,Juazeiro do Norte,51
448,Nordeste,CE,Quixeramobim,5
449,Norte,RO,Itapuã do Oeste,3
450,Sudeste,SP,Pederneiras,17
451,Sudeste,SP,Botucatu,90
452,Sul,PR,São José dos Pinhais,130
453,Sudeste,RJ,Nova Iguaçu,179
454,Sul,RS,Palmeira das Missões,10
455,Centro-Oeste,MT,Nova Mutum,19
456,Centro-Oeste,MS,Dourados,77
457,Sudeste,SP,Junqueirópolis,8
458,Sul,RS,Cachoeira do Sul,64
459,Sudeste,SP,São José do Rio Pardo,16
460,Sul,SC,Santa Rosa do Sul,2
461,Sul,SC,Rio do Sul,38
462,Nordeste,PE,Olinda,120
463,Nordeste,CE,Cruz,3
464,Nordeste,PE,Afogados da Ingazeira,1
465,Sudeste,SP,Maracaí,5
466,Sudeste,MG,Paracatu,43
467,Nordeste,PB,Mataraca,2
468,Sudeste,RJ,Saquarema,24
469,Norte,RO,Vilhena,23
470,Centro-Oeste,MS,Paranaíba,5
471,Sul,RS,Santo Antônio da Patrulha,13
472,Sul,SC,Tubarão,43
473,Nordeste,CE,Maracanaú,17
474,Sudeste,MG,Leopoldina,13
475,Nordeste,MA,Penalva,1
476,Sul,PR,Ribeirão Claro,3
477,Centro-Oeste,GO,Ceres,2
478,Sudeste,SP,Votuporanga,45
479,Sudeste,RJ,São Pedro da Aldeia,44
480,Sudeste,SP,Cerqueira César,5
481,Sul,PR,Mercedes,1
482,Centro-Oeste,MS,Ribas do Rio Pardo,4
483,Nordeste,SE,Areia Branca,5
484,Nordeste,BA,Dias D'Ávila,15
485,Sudeste,MG,Conselheiro Lafaiete,54
486,Sudeste,MG,Rio Piracicaba,11
487,Sul,SC,Orleans,11
488,Nordeste,BA,Cícero Dantas,4
489,Centro-Oeste,GO,Cachoeira Dourada,6
490,Sudeste,SP,José Bonifácio,13
491,Sudeste,RJ,Cabo Frio,122
492,Centro-Oeste,GO,Mineiros,31
493,Centro-Oeste,MS,Corumbá,44
494,Sul,SC,São Lourenço do Oeste,6
495,Sul,PR,Bom Jesus do Sul,1
496,Sudeste,MG,Estrela do Indaiá,1
497,Sudeste,SP,Caraguatatuba,55
498,Sudeste,RJ,Paracambi,6
499,Sul,RS,Santa Maria,117
500,Sul,RS,Santa Rosa,28
501,Sul,PR,Marialva,8
502,Nordeste,AL,Delmiro Gouveia,2
503,Sudeste,SP,Franco da Rocha,43
504,Nordeste,BA,Itiruçu,4
505,Nordeste,CE,Eusébio,28
506,Sudeste,SP,Pariquera-Açu,10
507,Sudeste,SP,Salto,53
508,Sudeste,SP,Agudos,10
509,Sul,RS,Teutônia,14
510,Norte,PA,Vitória do Xingu,7
511,Centro-Oeste,MT,Várzea Grande,72
512,Sul,RS,Farroupilha,31
513,Sudeste,MG,Guaxupé,16
514,Sudeste,RJ,Mesquita,52
515,Centro-Oeste,MT,Tangará da Serra,40
516,Centro-Oeste,MT,Colíder,10
517,Sul,RS,Santa Cruz do Sul,60
518,Sudeste,SP,Birigüi,36
519,Sul,RS,Rio Pardo,8
520,Nordeste,PE,Cabo de Santo Agostinho,41
521,Centro-Oeste,GO,Uruaçu,9
522,Sul,RS,Charqueadas,13
523,Centro-Oeste,GO,Caldas Novas,25
524,Sudeste,SP,Mococa,30
525,Sudeste,MG,Manhuaçu,28
526,Sul,RS,Caçapava do Sul,12
527,Sudeste,SP,São Bento do Sapucaí,7
528,Sul,SC,Balneário Rincão,5
529,Sudeste,MG,Barão de Cocais,15
530,Nordeste,AL,Campo Alegre,3
531,Sul,SC,Ouro,4
532,Sudeste,MG,Confins,3
533,Sudeste,MG,Divinópolis,62
534,Nordeste,MA,Imperatriz,64
535,Sul,RS,São Francisco de Assis,3
536,Nordeste,CE,Caucaia,32
537,Sul,RS,Taquara,14
538,Sudeste,MG,Abaeté,4
539,Sul,SC,Lages,81
540,Sudeste,SP,Amparo,25
541,Sudeste,SP,Santana de Parnaíba,202
542,Nordeste,MA,São Bernardo,1
543,Sudeste,MG,Campanha,3
544,Norte,PA,Ananindeua,77
545,Sudeste,MG,Coromandel,12
546,Sudeste,SP,Ribeirão Bonito,6
547,Centro-Oeste,GO,Porangatu,10
548,Sul,PR,Rolândia,14
549,Sudeste,SP,São Luiz do Paraitinga,5
550,Sudeste,SP,Águas de Lindóia,7
551,Sudeste,MG,São Gonçalo do Sapucaí,4
552,Centro-Oeste,GO,Cidade Ocidental,12
553,Sudeste,SP,Campina do Monte Alegre,1
554,Nordeste,MA,Balsas,17
555,Sudeste,RJ,Bom Jesus do Itabapoana,9
556,Sudeste,MG,São Sebastião do Paraíso,24
557,Sudeste,ES,Linhares,54
558,Nordeste,BA,Andaraí,1
559,Sul,RS,Esteio,26
560,Nordeste,BA,São José do Rio Grande,1
561,Centro-Oeste,MS,Glória de Dourados,1
562,Sudeste,SP,Lorena,21
563,Sudeste,SP,Peruíbe,39
564,Nordeste,CE,Iguatu,21
565,Centro-Oeste,MT,Campo Novo do Parecis,12
566,Nordeste,BA,Simões Filho,18
567,Sudeste,SP,Itapecerica da Serra,34
568,Nordeste,BA,Vitória da Conquista,71
569,Sudeste,SP,Itaquaquecetuba,51
570,Centro-Oeste,MT,Paranaitá,3
571,Norte,RO,Ouro Preto do Oeste,9
572,Sul,RS,Flores da Cunha,14
573,Nordeste,AL,Colônia Leopoldina,1
574,Sudeste,SP,Araras,60
575,Centro-Oeste,MT,Rondonópolis,82
576,Nordeste,PE,Cabrobó,2
577,Sul,RS,Sarandi,24
578,Sul,PR,Santo Antônio da Platina,8
579,Sudeste,SP,Tatuí,31
580,Sudeste,MG,Lagoa Santa,62
581,Sul,SC,Morro da Fumaça,3
582,Sudeste,MG,Matipó,2
583,Sudeste,SP,Valentim Gentil,5
584,Norte,TO,Monte do Carmo,2
585,Nordeste,BA,Entre Rios,9
586,Sudeste,ES,Cariacica,73
587,Sudeste,MG,São João da Ponte,1
588,Sul,SC,Canoinhas,34
589,Sudeste,SP,Serrana,16
590,Sudeste,MG,Curvelo,39
591,Sudeste,SP,Matão,39
592,Sul,RS,Anta Gorda,3
593,Nordeste,SE,Estância,9
594,Norte,PA,Juruti,8
595,Nordeste,CE,Mauriti,5
596,Sul,PR,Campo Magro,7
597,Sul,SC,São José,159
598,Sudeste,SP,Ubatuba,67
599,Sudeste,RJ,Paraty,28
600,Sul,PR,Umuarama,53
601,Sudeste,SP,Itapetininga,44
602,Sul,RS,Rolante,7
603,Nordeste,PE,São José do Egito,2
604,Sudeste,MG,Ituiutaba,21
605,Nordeste,PB,Pitimbu,1
606,Sul,RS,Três Passos,3
607,Sudeste,ES,São Mateus,39
608,Nordeste,BA,Candeias,14
609,Centro-Oeste,GO,Alto Paraíso de Goiás,2
610,Sudeste,SP,Brotas,12
611,Sudeste,ES,Castelo,10
612,Nordeste,BA,Santa Maria da Vitória,4
613,Sul,RS,Barão,1
614,Nordeste,PE,São Lourenço da Mata,15
615,Sul,SC,Porto Belo,16
616,Nordeste,AL,Craíbas,2
617,Sudeste,MG,Governador Valadares,80
618,Nordeste,BA,Praia do Forte,3
619,Norte,PA,Ourilândia do Norte,8
620,Sudeste,SP,Cubatão,42
621,Sul,RS,Giruá,6
622,Nordeste,RN,Caicó,26
623,Nordeste,CE,Madalena,3
624,Norte,PA,Tucumã,7
625,Sul,RS,Portão,9
626,Centro-Oeste,GO,Goiatuba,7
627,Sudeste,SP,Ourinhos,40
628,Sul,RS,Vanini,3
629,Nordeste,RN,São Paulo do Potengi,3
630,Nordeste,MA,Coelho Neto,1
631,Sudeste,ES,Aracê,2
632,Sul,RS,Osório,33
633,Sudeste,ES,Guarapari,45
634,Sul,SC,Penha,15
635,Sudeste,MG,Itanhandu,3
636,Sul,RS,Capela de Santana,5
637,Nordeste,PB,Itaporanga,2
638,Sul,PR,Colombo,68
639,Sudeste,MG,Araguari,42
640,Sudeste,MG,Cataguases,30
641,Sudeste,SP,Guaratinguetá,78
642,Sul,PR,São João do Ivaí,3
643,Sudeste,SP,São Sebastião,39
644,Nordeste,BA,Cruz das Almas,14
645,Nordeste,RN,Maxaranguape,3
